ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,Año
AGUASCALIENTES,0.0668917048179726,3.66378390545761,0,10.1657576048862,17.0171385041768,123.887374924056,51.7906437444408,32.6857249175824,98.0693708951535,80.8026631829375,15.1902429976043,1.56520882419339,434.904801205307,1986
BAJA CALIFORNIA,12.6496004388647,43.0408412996778,44.2522536462096,1.73126303594629,0.22284673653858,0.696759808121987,1.4529106482609,2.24494124656436,11.6211346596816,21.4766201069231,10.3093704975722,24.9730684402186,174.67161056458,1986
BAJA CALIFORNIA SUR,2.27715132996771,3.65444088910315,0,11.1450685094806,0.172291405838501,0,14.2136784690688,49.614560065319,18.4150495079073,21.0245071118729,0.887783870621788,19.4143276975022,140.818858856682,1986
CAMPECHE,17.3802329541699,16.7457469114387,4.86296734254888,31.6785245023846,47.7272939817229,188.555373567382,161.809652531339,179.693526077126,119.807636703485,121.463931134054,42.8094811290788,37.3383037738491,969.872670608579,1986
COAHUILA,6.12692371657811,5.11169956327018,2.81960386110923,41.3357655190937,42.9713358229044,83.3585780148133,14.3244737603766,20.4820335865023,91.3062101903692,58.8865129437284,11.1585430805208,34.3604675973918,412.242147656658,1986
COLIMA,4.56824654705509,5.57827091378691,0,0.536781813008757,6.8681601256847,119.629284469534,150.011935744857,138.456497956488,193.059113514954,142.868642484899,19.0354664940835,5.70861904337179,786.321019107723,1986
CHIAPAS,92.6091985407253,33.1864314423479,50.3029014682261,36.9396879770594,239.159392408369,155.511356638529,171.630535723636,196.481759694351,189.909939221508,120.43361752094,100.784752461945,48.1511812871594,1435.1007543848,1986
CHIHUAHUA,7.38895733041163,9.88164018139895,5.03385796963408,5.88865153927842,16.9687650465785,50.6371784322039,134.673618397608,93.2377293369511,62.2759733891635,17.7882480619376,9.44157716987634,34.331814708936,447.548011563978,1986
CIUDAD DE MÉXICO,0,0,0.233877556536961,21.6804101082186,70.2834360567129,236.349005089464,105.192227548037,119.250418205218,80.077205444096,51.2494799606845,3.99552753353037,0,688.311587502498,1986
DURANGO,1.96468569548892,7.63489585128519,0.0720328872904559,17.2039391433033,15.243397095316,113.33426750793,146.614789412415,72.9650033002714,152.436023077415,77.6298434993446,9.92254352178195,38.6247013939331,653.646122385775,1986
GUANAJUATO,0,2.95055240150868,0.0115836926597695,19.7803834163454,26.8087708857906,197.559561180617,83.1525733437383,64.8270183343273,77.6809320638378,44.0423334589671,12.2939407841802,9.40627708682154,538.513926648794,1986
GUERRERO,0.429740103082057,0.60440700768856,0.350523201202737,14.8047886062293,63.2469897273674,184.736897314744,140.670775601305,163.457161694022,131.900851711268,55.684810175404,19.0869437932525,11.3033930591925,786.277281994758,1986
HIDALGO,4.94436799946994,5.36804192951661,16.76878648435,50.9034448234788,83.0194891759019,155.943602904198,104.313648782012,50.9006827728994,76.8871835490403,71.8032332830097,47.4653896405126,19.5628375790683,687.880708923458,1986
JALISCO,0.563041486846304,7.91037977250018,0.0137049467572755,4.27741021511278,45.6651400700786,167.467006994095,190.122463734876,149.877026496884,112.281135061704,75.8547440648582,12.7822226819392,9.18435756097406,775.998633086626,1986
ESTADO DE MÉXICO,0.051658227239344,1.48537769935433,1.91734220604449,37.7103333322846,95.0688420586922,176.72831493481,117.111532758243,111.347574851408,90.13042134509,47.2977191111121,12.6915795380043,7.79939418727351,699.340090249556,1986
MICHOACÁN,0.8908480936445,2.89067194014308,0.00499044508968164,3.04706154685566,23.9472046554826,133.097802506594,125.740126870314,105.528130861079,121.94564222004,47.3069042635377,21.665380640939,10.5053547434442,596.570118787163,1986
MORELOS,2.59144924795299,2.90944405416779,1.23856484489028,29.4048610275873,60.2147062516776,156.308562289855,75.2668874339521,50.5660563119021,60.0497789643515,29.9560989493584,11.6477972746651,2.29995485392026,482.45416150428,1986
NAYARIT,0.0383003606276874,18.6840461792087,0,0.334692611035129,4.03032410298145,86.4822956205268,144.48771052218,224.275384431545,116.538628147247,62.4551439736012,9.61462929901149,13.3752256556547,680.316380903619,1986
NUEVO LEÓN,2.41286451139935,9.7017941389746,4.12941092398914,69.5548816828745,91.588031514726,137.831394831452,21.6724455577288,30.0562989568622,145.42092968086,62.0821439575902,34.9313217393379,60.1973138248716,669.578831320666,1986
OAXACA,9.58029425736082,33.4319741564741,5.86027471067725,51.5014800517192,139.238872920448,179.702001615426,181.55608264135,185.300259024326,238.432256516561,119.548631847229,71.126282547292,46.9174752193757,1262.19588550824,1986
PUEBLA,14.9568196712459,17.1394686815005,12.7125186251778,43.9169081207094,88.3037770593273,250.737119567827,133.814593739202,112.57416840753,135.055213109393,116.264002841671,81.6151612982468,48.4409784595181,1055.53072958135,1986
QUERÉTARO,0.625376791353814,0.334337325374503,18.0216503952818,125.585336615836,51.6630628668259,136.705786731171,58.7996116214747,43.3751448319357,37.7629590073124,32.4846250194823,19.8270743314156,6.33947728604162,531.524442823505,1986
QUINTANA ROO,32.4215714121939,18.6328952937386,23.7827775322304,50.3129003290057,96.6113249315268,248.227875513638,89.4292136150965,72.4880038135015,134.81306770298,121.396210592124,61.8697387158242,139.99910111454,1089.9846805664,1986
SAN LUIS POTOSÍ,4.96558790817828,4.13444706058058,8.4761291599431,100.773081371233,51.1033577153074,188.91149727818,121.606214134888,29.0283558553478,93.6877270020573,105.871585508676,60.6349380346729,31.2828784654847,800.475799494549,1986
SINALOA,7.89279033066199,21.8072511991959,2.98800223893999,1.51091240066323,1.974959334183,35.6952273916808,124.827584042953,161.764523369909,117.304334477593,135.622927582281,6.3221637471936,28.588046852689,646.298722967943,1986
SONORA,9.2735625735505,16.6927651192934,5.37365813652419,7.48887151849634,15.1811562423558,13.4982791715834,118.501593177328,100.363421418755,81.6189801091894,19.3869082290839,14.6766578297743,46.8475118681981,448.903365394132,1986
TABASCO,204.071235118078,76.4558486621002,88.0860699309805,18.0423944417061,249.313479883944,122.553541689918,96.3238454453377,154.00689774961,165.11013170458,180.079464219294,236.60511166395,142.645834390241,1733.29385489974,1986
TAMAULIPAS,3.26596653074854,9.01647414463223,3.78175830747174,37.6202633008428,71.2310128129688,163.865167476362,58.2648016166897,52.3160866259661,126.048531230296,83.0093271167194,44.1722469255346,38.4746303885296,691.066266476761,1986
TLAXCALA,0.892353193701582,3.73469609114779,1.11592027866946,49.3232727748896,84.0375976786433,184.326470728442,66.370637360174,72.083670880407,59.9237668891908,46.3900491814852,17.7221456506678,10.5154659178223,596.436046625241,1986
VERACRUZ,16.8501484031227,30.8348289995687,19.5679018955839,26.8086562952174,77.6075752151113,236.36765595989,185.890095517475,155.903792340174,186.585302229985,130.607276986321,117.921513631011,82.7971186049919,1267.74186607845,1986
YUCATÁN,25.7711416141649,26.1489026423229,15.5693351965818,60.8397477667443,78.1012529752233,136.166474188497,116.890188470077,136.149399388496,154.864487660628,118.25156063243,53.1562560012496,105.496956394437,1027.40570293085,1986
ZACATECAS,3.86732104242566,6.12645614310361,1.17885747160027,8.86502693034724,20.0155177559592,115.841567204097,135.272481448716,54.1178284912891,75.8527164592667,30.5480303034179,7.65896994248742,20.8520519964582,480.196825189168,1986
NACIONAL,15.2,14.9,10.7,26.3,57.4,122.7,115.8,103.8,125.2,83,36.8,36.2,748,1986
AGUASCALIENTES,23.8898761339797,38.7139125429738,0,8.64502038885332,45.379817973685,42.5358332548316,112.203835620171,36.4095297557211,44.1934584775913,0,15.883993434557,3.97990056591066,371.835178148275,1987
BAJA CALIFORNIA,28.9254638013254,48.6146947012111,27.6412428810989,10.6350532695674,1.16298985156054,0.145072539360265,0.806347714819923,1.56156670086768,11.1124025364332,81.3136607107623,41.4597416984375,63.912296421546,317.29053282699,1987
